fitur,gain_importance
skor_kredit,0.1408585
gagal_bayar_tercatat,0.115127824
rasio_hutang_terhadap_pendapatan,0.09312114
tunggakan_2thn_terakhir,0.07891645
tujuan_pinjaman_Konsolidasi Hutang,0.058207236
tipe_produk_Kartu Kredit,0.057521965
tujuan_pinjaman_Pribadi,0.047532365
tujuan_pinjaman_Pendidikan,0.046748105
tujuan_pinjaman_Bisnis,0.046048608
rasio_pembayaran_terhadap_pendapatan,0.04415433
lama_riwayat_kredit_tahun,0.04045284
rasio_pinjaman_terhadap_pendapatan,0.03574523
catatan_negatif,0.03381969
lama_bekerja_tahun,0.025060598
tipe_produk_Kredit Berjalan,0.016512493
suku_bunga,0.016368534
jumlah_pinjaman,0.013396515
usia,0.012756857
status_pekerjaan_Mahasiswa,0.011223993
status_pekerjaan_Wiraswasta,0.008055926
hutang_saat_ini,0.007991018
pendapatan_tahunan,0.0075654667
aset_tabungan,0.0075329402
tipe_produk_Pinjaman Pribadi,0.007386186
tujuan_pinjaman_Renovasi Rumah,0.006015027
status_pekerjaan_Bekerja,0.0058421893
tujuan_pinjaman_Medis,0.004772738
tenor_bulan,0.0042409105
jaminan_Ada Jaminan,0.003583152
jaminan_Tanpa Jaminan,0.0034411328
